"CaSX","NgaySX","QuyCach","MacThep","TieuChuan","ThoiGian","MaMau","Thick_Min","Thick_Max","RealThick","ThickResult","DoNem","DoNemResult","Crown","CrownResult","Width_Min","Width_Max","RealWidth","WidthResult","DoCong","DoCongResult","DoPhang","DoPhang_H","DoPhang_L","RoughnessResult","Result","Comment"
"1B","2025-09-01","7.80x1500xC",A572 Gr50,ASTM A572,,"84250900221",7.768985,7.816349,7.798691,Đ,,Đ,55.0,Đ,1507.0,1514.0,1511.0,Đ,3.0,Đ,,,,Đ,Đ,""
"1B","2025-09-01","9.80x1500xC",A572 Gr50,ASTM A572,,"84250900222",9.760267,9.831752,9.798982,Đ,,Đ,76.0,Đ,1510.0,1517.0,1513.0,Đ,3.0,Đ,,,,Đ,Đ,""
"1B","2025-09-01","9.80x1500xC",A572 Gr50,ASTM A572,,"83250900223",9.746139,9.824662,9.796972,Đ,,Đ,71.0,Đ,1487.0,1515.0,1511.0,KĐ,3.0,Đ,0.089648,,,Đ,KĐ,Âm  rộng 11m đầu >2%
"1B","2025-09-01","9.80x1500xC",A572 Gr50,ASTM A572,,"84250900224",9.760405,9.821359,9.794912,Đ,,Đ,54.0,Đ,1506.0,1513.0,1509.0,Đ,4.0,Đ,,,,Đ,Đ,""
"1B","2025-09-01","9.80x1500xC",A572 Gr50,ASTM A572,,"83250900225",9.761166,9.8222,9.79848,Đ,,Đ,58.0,Đ,1507.0,1515.0,1511.0,Đ,2.0,Đ,0.089606,,,Đ,Đ,""
"1B","2025-09-01","9.80x1500xC",A572 Gr50,ASTM A572,,"84250900226",9.758625,9.818782,9.795033,Đ,,Đ,54.0,Đ,1505.0,1512.0,1508.0,Đ,2.0,Đ,,,,Đ,Đ,MẪU
"1B","2025-09-01","9.80x1500xC",A572 Gr50,ASTM A572,,"83250900227",9.772318,9.819517,9.798996,Đ,"6",Đ,65.0,Đ,1506.0,1513.0,1509.0,Đ,3.0,Đ,,,,Đ,Đ,""
"1B","2025-09-01","9.80x1500xC",A572 Gr50,ASTM A572,,"84250900228",9.773476,9.829321,9.794981,Đ,,Đ,66.0,Đ,1507.0,1514.0,1509.0,Đ,4.0,Đ,,,,Đ,Đ,""
"1B","2025-09-01","9.80x1500xC",A572 Gr50,ASTM A572,,"83250900229",9.770496,9.834519,9.798037,Đ,,Đ,59.0,Đ,1507.0,1513.0,1509.0,Đ,3.0,Đ,,,,Đ,Đ,""
"1B","2025-09-01","9.80x1500xC",A572 Gr50,ASTM A572,,"84250900230",9.774932,9.833364,9.795226,Đ,,Đ,58.0,Đ,1506.0,1512.0,1508.0,Đ,2.0,Đ,,,,Đ,Đ,""
"1B","2025-09-01","9.80x1500xC",A572 Gr50,ASTM A572,,"83250900231",9.764593,9.820053,9.799604,Đ,"9",Đ,51.0,Đ,1476.0,1513.0,1505.0,KĐ,3.0,Đ,,,,Đ,KĐ,Âm  rộng 28m đầu >2%
"1B","2025-09-01","9.80x1500xC",A572 Gr50,ASTM A572,,"84250900232",9.772107,9.846888,9.799533,Đ,"9",Đ,52.0,Đ,1506.0,1514.0,1509.0,Đ,4.0,Đ,,,,Đ,Đ,"1M ĐUÔI"
"1B","2025-09-01","9.80x1500xC",A572 Gr50,ASTM A572,,"84250900233",9.770932,9.879408,9.800353,Đ,,Đ,123.0,Đ,1512.0,1518.0,1514.0,Đ,2.0,Đ,,,,Đ,Đ,""
"1B","2025-09-01","9.80x1500xC",A572 Gr50,ASTM A572,,"83250900234",9.764533,9.829142,9.797229,Đ,,Đ,118.0,Đ,1510.0,1516.0,1512.0,Đ,3.0,Đ,,,,Đ,Đ,""
"1B","2025-09-01","9.80x1500xC",A572 Gr50,ASTM A572,,"84250900235",9.776718,9.832674,9.799927,Đ,,Đ,78.0,Đ,1509.0,1516.0,1512.0,Đ,2.0,Đ,,,,Đ,Đ,MẪU
